Player,Round,Exit Velocity (MPH),Distance (Ft.),Launch Angle
Kyle Schwarber,3,108,446,24
Kyle Schwarber,3,105,422,32
Kyle Schwarber,3,109,446,26
Kyle Schwarber,3,110,442,26
Kyle Schwarber,3,110,446,30
Kyle Schwarber,3,109,430,25
Kyle Schwarber,3,105,433,30
Kyle Schwarber,3,107,442,29
Kyle Schwarber,3,111,435,22
Kyle Schwarber,3,105,413,34
Kyle Schwarber,3,112,393,18
Kyle Schwarber,3,109,430,23
Kyle Schwarber,3,104,416,34
Kyle Schwarber,3,107,441,27
Kyle Schwarber,3,98,397,26
Kyle Schwarber,3,104,435,27
Kyle Schwarber,3,104,428,33
Kyle Schwarber,3,110,453,26
Bryce Harper,3,109,434,30
Bryce Harper,3,101,386,35
Bryce Harper,3,111,478,30
Bryce Harper,3,106,444,32
Bryce Harper,3,112,452,25
Bryce Harper,3,109,429,34
Bryce Harper,3,105,408,39
Bryce Harper,3,110,438,36
Bryce Harper,3,108,450,33
Bryce Harper,3,109,426,30
Bryce Harper,3,109,453,31
Bryce Harper,3,112,473,31
Bryce Harper,3,109,436,26
Bryce Harper,3,108,408,39
Bryce Harper,3,104,362,25
Bryce Harper,3,97,382,38
Bryce Harper,3,105,439,36
Bryce Harper,3,105,427,34
Rhys Hoskins,2,105,453,30
Rhys Hoskins,2,105,428,24
Rhys Hoskins,2,105,398,20
Rhys Hoskins,2,93,374,29
Rhys Hoskins,2,101,399,37
Rhys Hoskins,2,104,367,21
Rhys Hoskins,2,104,357,21
Rhys Hoskins,2,100,391,37
Rhys Hoskins,2,104,411,32
Rhys Hoskins,2,100,419,32
Rhys Hoskins,2,102,396,22
Rhys Hoskins,2,97,396,32
Rhys Hoskins,2,106,426,32
Rhys Hoskins,2,107,420,26
Rhys Hoskins,2,99,412,33
Rhys Hoskins,2,108,443,27
Rhys Hoskins,2,105,442,29
Kyle Schwarber,2,105,429,29
Kyle Schwarber,2,110,455,28
Kyle Schwarber,2,107,426,29
Kyle Schwarber,2,109,462,29
Kyle Schwarber,2,111,454,32
Kyle Schwarber,2,108,433,34
Kyle Schwarber,2,98,356,36
Kyle Schwarber,2,110,446,30
Kyle Schwarber,2,108,428,28
Kyle Schwarber,2,106,413,36
Kyle Schwarber,2,103,439,27
Kyle Schwarber,2,101,425,29
Kyle Schwarber,2,101,411,26
Kyle Schwarber,2,101,414,32
Kyle Schwarber,2,109,448,28
Kyle Schwarber,2,111,417,22
Kyle Schwarber,2,108,428,22
Kyle Schwarber,2,107,413,25
Kyle Schwarber,2,110,432,24
Kyle Schwarber,2,105,394,34
